area,rooms,floor,year_of_construction,price
52,2,4,1979,97300
88,4,2,1999,170706
71,3,2,2003,141768
81,3,7,1991,173446
59,2,9,1971,120912
95,4,2,1960,275683
89,3,6,1962,190176
92,3,9,1995,148169
63,3,5,2006,101966
81,3,1,1981,140376
99,3,8,1961,292077
94,3,6,1981,186431
68,3,3,1999,128568
52,2,8,1978,87947
68,2,7,1961,154616
95,4,7,1962,227511
56,2,4,1997,96231
63,2,5,2008,106157
113,5,5,1964,302772
82,3,7,1974,181460
93,4,8,1985,168861
81,4,2,1983,180322
99,3,10,1954,227287
76,2,10,1950,199822
91,3,7,2019,192244
53,1,9,1986,91687
120,5,10,1976,236765
71,3,3,2012,118799
93,4,1,1970,160410
101,5,7,2022,235864
57,2,4,1960,128925
108,5,7,2017,290045
112,5,9,2017,282153
102,5,10,2010,228869
91,4,4,2005,170656
69,3,10,1961,143534
82,3,9,1995,178062
83,3,6,2000,142272
60,3,1,1968,133492
67,3,3,2017,142532
56,2,5,1985,91299
69,2,2,1985,134452
72,3,5,1988,162410
96,3,9,1984,152655
107,4,3,1986,239029
97,4,1,1995,199084
63,3,9,1991,104580
82,4,5,2000,181100
116,4,1,1992,223416
117,4,6,2010,281376
98,3,9,1961,280469
117,4,6,1979,243010
115,4,6,1980,274195
88,4,2,1988,187714
104,4,4,1969,282534
76,3,3,1998,131561
70,2,3,2016,107145
104,5,9,1986,225781
79,2,3,2019,123956
65,2,8,1982,109855
108,4,10,2015,243455
103,4,7,2020,193844
107,4,4,2014,237635
92,4,2,2012,166661
60,3,7,1964,116356
80,3,2,1953,259055
62,3,8,1986,100190
60,2,2,1977,104487
101,5,8,2017,190606
53,1,7,1969,84868
86,4,7,1992,153958
90,4,4,1951,311156
98,3,4,1974,191417
111,5,8,1958,390333
111,4,1,2002,191316
67,2,6,2018,113744
120,5,8,1965,319162
111,4,2,1960,263386
53,1,1,1997,83355
98,3,2,1950,260935
74,3,3,1972,163317
52,2,5,1986,79189
92,3,6,1956,240078
61,3,9,1963,120020
58,1,4,2021,110868
101,5,4,2004,221901
100,5,10,1999,254993
62,3,8,1991,132781
85,4,8,1956,285927
81,4,2,1982,171551
84,4,8,1976,192908
110,4,1,1963,241272
119,4,4,1954,418790
82,3,9,2020,130040
86,4,8,2001,185943
114,4,10,1952,358891
105,5,2,2014,196197
50,2,3,2004,78552
72,2,2,1968,172718
71,2,8,2012,113509
66,3,8,1974,120631
58,2,7,1980,101894
98,3,5,1973,230752
61,3,5,2008,127473
107,5,2,1994,251927
97,4,3,2002,200236
50,2,10,2021,78455
98,4,10,1954,253157
67,3,7,1970,126249
102,4,6,1994,176603
55,1,8,1986,96043
80,3,9,1964,168702
93,3,8,1986,181657
113,4,7,2018,275998
115,4,7,1985,295115
64,2,5,1957,187213
74,2,4,1984,135192
62,3,4,1995,139756
78,3,2,1953,196984
58,2,3,1952,157113
83,4,10,1983,169839
102,4,1,2013,159516
83,4,4,1959,204279
68,2,6,1980,141540
101,4,4,1977,238384
52,2,9,1989,112752
93,4,1,1960,232430
65,2,1,1980,93473
64,3,9,1991,121508
115,4,2,2015,201001
111,5,7,1950,433936
65,2,8,2006,108406
58,2,3,1986,125175
65,2,7,1979,103428
78,3,3,2016,127934
79,3,7,1950,275714
98,3,4,1956,235063
63,2,3,1962,137578
107,4,7,2013,234027
111,4,2,1961,349212
81,4,6,2016,200953
107,4,3,1983,220836
62,2,8,2003,133289
111,4,8,2013,273141
116,5,2,1966,307883
104,4,10,1972,279194
80,3,5,1988,169114
90,3,9,1966,196177
74,2,1,1983,115734
61,2,4,2013,126080
112,5,3,1976,212239
54,1,9,1983,105431
55,2,6,1988,95921
66,3,6,1973,128201
61,2,6,1952,190586
95,3,3,1971,219857
67,2,2,2011,110955
93,3,3,1952,236015
85,4,7,1991,172417
60,2,2,1982,107364
102,4,2,1951,387961
67,3,9,2019,115410
61,2,7,1957,158963
88,4,3,1983,159851
69,3,3,1993,132572
50,1,8,1964,80887
65,3,6,2012,137975
66,3,4,1993,152923
120,4,4,1954,390484
52,1,4,1979,84091
74,3,2,2018,153602
119,4,4,1999,269374
106,5,8,2015,273934
110,4,6,2006,252010
76,3,3,2009,137424
97,3,6,1956,260015
51,1,7,1963,96477
97,4,7,1969,230940
119,4,4,1986,256666
96,4,6,1982,185041
111,5,8,2008,236038
95,3,1,1994,200507
68,3,9,1964,140787
89,4,1,1964,199665
117,5,8,2012,306316
116,5,9,2016,288328
70,2,5,2010,133269
100,4,7,2004,229274
111,5,7,1961,294238
99,4,9,1953,332281
111,5,3,1988,237355
78,2,9,1960,203913
77,2,10,2000,164486
88,3,2,1968,187345
109,5,7,1977,227639
59,2,8,2011,90516
112,5,4,2018,296767
58,1,7,1997,88539
51,1,6,2013,99611
68,2,6,1996,111095
115,4,1,1957,327419
79,3,10,1981,136197
82,3,9,1967,190903
98,3,1,2010,181690
53,1,2,2005,103959
104,4,3,1981,242021
76,2,10,2022,114613
86,3,8,1972,182656
65,2,7,1995,106518
89,3,1,2011,128382
82,4,1,1974,176488
104,4,3,1985,244891
59,1,6,1950,143098
63,2,1,2015,108770
78,2,7,2010,162540
91,3,6,1980,185586
104,4,6,1961,279094
108,4,6,1963,270142
109,5,5,2000,257824
59,1,9,2014,95348
69,3,6,1973,168411
75,2,3,1961,205853
86,4,7,1951,255378
87,3,7,1989,149979
109,5,10,1996,219285
56,2,1,1961,106437
80,4,6,1959,200733
53,2,6,2006,87653
100,5,8,1958,346612
98,4,10,1984,217960
65,2,4,1988,123186
102,5,6,2020,235605
52,2,1,1989,73195
74,2,5,1980,146210
72,2,4,1961,163752
60,2,3,1987,100864
69,2,8,2012,105494
89,3,4,1985,175517
114,4,10,2018,225015
66,2,2,1961,133434
57,1,8,2008,79130
53,1,5,1996,84397
114,5,8,2010,295430
99,3,1,2021,162600
81,4,9,1997,168900
117,5,5,2009,280196
107,4,10,1957,290942
97,3,6,1987,170854
94,3,2,1958,292877
100,4,5,2005,187971
96,3,6,1968,186642
112,4,4,1957,352986
95,4,4,2008,217445
50,1,10,2011,95432
82,4,3,2021,156653
70,2,2,1952,159266
94,3,1,1969,153260
51,1,8,2012,78133
108,5,2,1970,309846
76,2,5,1993,128728
76,3,5,1956,177463
119,5,1,1974,268553
83,4,3,1986,188472
119,5,8,1953,328573
108,4,3,1987,211391
72,2,2,2022,156475
64,2,3,1973,110219
88,4,6,1951,254905
81,4,1,1966,189437
78,3,1,1979,153464
87,4,7,2010,164201
118,5,3,1986,284903
104,4,3,2022,192158
71,3,6,2008,126869
51,2,2,1994,86240
50,2,3,1978,74146
58,1,4,2015,107175
77,2,3,1950,179170
98,3,8,1966,185427
100,5,3,1990,264931
114,4,6,1983,255461
96,4,1,1998,224593
82,3,10,1966,155777
53,2,2,1978,96008
68,3,5,2016,127612
120,4,2,1980,239474
92,3,6,1964,218462
65,3,6,1999,109360
54,2,5,1980,102267
64,3,6,2016,102427
102,5,2,2002,225088
117,4,8,1950,419595
57,2,4,1996,89480
62,3,3,1984,104181
63,2,6,1993,126347
82,4,4,1968,219794
95,4,10,1978,193640
71,2,4,1996,133805
62,3,7,1969,126860
94,3,9,1994,190541
59,1,10,1997,92955
120,5,6,2008,293690
101,5,1,1955,258418
65,3,7,1969,147471
108,5,2,1978,261005
103,4,9,1952,304272
78,3,2,2000,154629
101,4,10,1986,247288
99,3,3,1971,210632
55,1,8,1999,82215
63,2,4,1991,95817
66,2,5,1970,136884
61,3,5,1962,169214
116,5,6,1962,396240
76,2,5,1989,139885
102,5,4,2008,229605
72,3,7,1998,136369
102,4,7,2014,211589
84,3,7,1993,166600
102,5,8,1957,348019
104,5,8,1966,255580
100,5,6,1965,251233
93,3,9,1994,211121
84,3,4,2002,141824
112,4,7,1997,274744
65,3,9,1953,217427
58,1,6,2021,85399
50,1,4,2016,79322
94,4,9,1959,296392
69,2,8,1965,136510
56,1,6,1965,89246
96,3,1,1999,147646
119,5,2,1965,373245
80,4,8,2004,157341
109,4,7,1987,249914
56,2,9,2009,100753
106,5,3,1963,315751
96,3,1,2018,138491
72,3,8,2010,114649
97,3,7,2014,229171
92,3,1,1984,198020
89,4,5,1967,189974
77,3,10,2012,131447
100,5,1,1952,311071
92,3,5,1973,195493
75,3,2,2007,157163
77,2,3,1976,159356
118,4,5,2010,204371
63,2,1,1999,118355
86,3,9,2010,177526
74,2,10,1999,123656
103,5,5,1950,355331
115,5,10,1995,315385
116,4,9,2000,285213
56,1,1,1959,118668
101,5,4,1990,217227
66,2,5,1988,118281
71,3,8,1988,160115
80,3,8,2016,150014
72,2,2,2020,136126
67,3,10,2004,112637
113,5,6,1956,361825
91,4,9,1992,185773
81,4,6,1977,141210
98,4,1,2007,205659
107,4,2,1960,334760
76,3,4,1986,164472
73,2,4,1954,171865
104,4,1,1955,331762
59,2,5,1994,122167
120,5,10,1991,251042
113,4,9,1970,286548
61,3,8,2017,113639
113,5,5,1993,259518
94,3,4,2018,180301
116,4,8,1960,382818
68,3,5,1972,161053
86,3,1,1989,147038
84,3,3,1995,185458
99,4,7,2021,175732
115,4,4,1991,199586
80,3,8,1953,201154
55,2,9,2012,96164
81,3,9,1972,199253
119,5,7,2021,264277
80,4,8,1962,235407
69,3,9,2014,154293
90,4,8,2019,223833
117,5,1,1974,244782
110,5,8,1963,255500
88,4,3,1986,215655
58,2,8,1978,102643
94,4,1,1979,152740
66,2,10,1955,193784
86,3,2,1998,184942
119,4,5,2017,297263
98,3,2,1954,284998
116,4,8,2006,288434
61,3,3,1991,132245
57,1,5,1986,90894
113,5,7,2007,214101
99,3,9,2005,166326
65,2,5,1972,112935
64,3,2,1994,111825
54,1,7,2010,85292
104,4,1,1986,190346
119,5,10,1963,364401
116,4,9,1971,253058
64,2,8,2002,110562
93,4,3,1984,192536
115,5,1,2007,203092
93,4,10,1964,206478
113,4,3,1970,223878
74,3,7,1992,139318
52,2,1,1952,107660
68,3,8,1994,144402
61,2,8,2003,89389
107,5,4,1981,237853
117,4,3,1952,346819
50,1,1,1982,66367
103,4,7,2008,238829
55,2,2,2003,99271
73,3,4,1989,149138
92,3,2,2014,184992
91,3,6,2006,153770
68,2,7,2022,126653
89,3,6,2004,151575
109,4,3,2021,196686
86,4,8,1962,242326
86,3,1,1999,179865
73,2,1,1958,132806
91,4,3,1997,225384
65,2,6,1991,133561
61,3,5,1984,129992
59,2,6,1962,141489
63,3,1,1984,107204
74,3,6,1956,202048
108,5,9,1950,329923
93,4,2,1969,224480
111,4,1,1982,207183
91,3,8,2022,181545
66,2,5,1960,153437
75,2,10,1953,178897
68,3,3,2021,149620
70,3,10,1972,146968
108,4,1,1987,236180
113,4,2,1993,290027
69,3,1,1993,103833
119,5,8,2011,279458
104,4,9,1999,210153
77,2,4,2009,120158
106,5,4,2003,226775
69,2,9,1967,123718
111,5,9,1960,321460
55,2,9,2006,91830
69,2,6,2001,115034
75,2,1,1978,99450
107,4,4,1953,371526
61,2,7,2005,102047
63,2,3,1971,129620
118,5,6,1957,353630
109,4,9,2018,224962
74,3,4,2022,123506
75,3,8,2005,168858
52,2,10,1983,86612
112,4,6,2020,274197
94,4,2,2000,217066
56,2,4,1983,102416
88,4,5,1963,228951
60,3,3,1995,130183
94,4,1,1959,283499
111,5,8,2017,215800
81,4,2,2011,161939
56,1,7,1998,89250
88,4,10,1963,268345
99,3,4,1970,177668
89,3,10,1950,258013
76,3,10,2017,178540
77,3,7,1977,146757
63,2,3,1975,92641
82,3,9,1978,156399
63,3,9,2017,128756
79,3,5,1985,131442
102,4,8,1998,196604
106,5,6,1951,373958
60,3,7,1981,120032
100,4,7,2022,178812
118,5,10,1958,410943
57,2,10,2007,83580
52,2,2,1974,106771
98,3,5,1995,210217
77,3,10,2018,157136
70,3,6,2018,165443
116,5,5,1996,259837
65,2,5,1974,107170
61,2,3,1966,146579
99,3,5,2009,205353
83,4,10,1958,209764
118,4,8,1977,223270
54,1,7,2013,87969
101,4,5,2000,208486
93,3,2,1983,169588
60,3,2,1957,173208
57,1,1,2006,83096
55,2,5,1980,100359
112,4,5,1955,394245
55,1,2,1966,110811
77,2,6,1997,112270
98,4,9,2010,224822
88,4,1,1962,225988
54,1,4,2002,102523
77,2,1,1973,138068
117,4,9,1980,252670
89,4,7,1952,299578
94,4,7,2022,213593
85,3,3,2006,172693
88,4,9,1962,246663
102,5,2,1956,357859
113,5,8,1973,219424
53,2,10,1987,112820
104,4,10,2001,244848
57,1,8,1956,123612
53,2,6,2005,89897
82,4,4,1988,148265
117,4,3,1984,222852
56,1,8,1997,107220
91,3,5,1999,203665
93,3,6,1977,200735
92,3,4,2009,201750
63,2,7,1988,99714
61,2,5,1993,114040
81,4,6,1987,156135
55,1,5,1952,119551
109,4,1,2020,194884
112,4,9,1972,213175
64,3,5,1994,110555
51,2,8,1983,99131
98,3,9,1974,163412
57,1,9,1988,94510
85,3,2,1977,189459
71,3,6,1969,170449
56,1,3,2007,98133
116,5,6,2011,308172
110,5,10,1992,238040
68,3,2,2010,128861
86,4,1,1957,268886
108,5,2,2014,220630
114,4,7,1980,224750
55,1,9,1959,97877
58,2,2,1999,94555
92,3,7,2021,190457
67,2,10,2011,118711
113,5,2,1978,253625
102,5,4,2007,202419
70,2,7,2015,111162
118,4,1,1999,273006
69,3,8,1986,154546
81,4,9,1963,210035
109,5,1,1952,279547
94,4,4,1994,177252
81,4,5,1998,181076
101,4,1,2020,182181
75,3,10,1952,254634
92,4,1,2001,179835
105,5,7,1953,368825
60,3,4,1959,174693
101,4,3,1976,176326
54,1,4,1983,102237
65,3,5,2022,153807
96,4,1,2014,174171
97,4,5,1973,232993
93,4,6,1957,272092
106,5,8,2020,269515
119,5,4,1956,363307
98,4,10,1950,313372
93,4,8,1968,269057
97,3,9,1965,268922
99,3,3,1983,217050
115,5,1,2019,273048
113,4,3,1957,384601
109,4,5,1961,332871
99,4,2,1952,350871
114,4,10,1961,276982
64,3,6,2016,119756
89,4,9,2014,220001
105,4,7,2003,204105
102,5,9,1983,270805
79,2,7,1974,126822
80,4,10,1958,189361
65,2,3,1955,160031
107,4,8,1990,222579
56,1,9,1963,125917
97,4,3,1965,288913
50,1,8,2021,69154
50,1,4,1992,72535
102,5,6,1954,355545
82,3,5,2002,189898
53,2,10,2021,111760
88,4,2,2007,217070
73,2,7,2015,132633
62,2,5,1957,178791
115,4,1,1970,233141
115,5,6,1960,366095
115,4,5,2017,242422
79,3,6,1977,153233
109,5,7,1977,257573
69,3,8,2017,131940
56,2,5,2011,118100
57,2,5,1978,97535
65,3,9,1968,150153
56,2,8,1970,120563
55,1,5,1951,154849
54,2,9,2014,97127
55,2,1,1994,105411
107,5,4,1990,294480
51,1,1,2015,85033
52,2,10,1962,97128
74,3,8,2015,172966
71,3,7,1971,129307
78,3,2,1980,182874
91,4,1,1977,187715
83,4,5,2006,207850
119,4,4,1972,248584
62,3,3,1950,210538
109,4,7,1993,188241
95,4,2,1974,244787
67,3,3,1991,110233
87,4,9,2022,218284
111,5,6,1993,215795
91,4,7,1984,211493
104,5,3,1999,212927
53,2,10,1976,77154
71,2,6,1993,110063
62,2,7,1961,118280
79,2,4,1991,127897
119,5,9,1959,383425
59,2,3,1988,93432
86,4,7,2015,172662
119,4,3,1991,255771
86,3,4,2020,173001
117,4,10,1991,229053
74,3,4,1968,179778
93,3,6,2008,154592
96,4,6,2004,232393
106,4,8,2001,196200
69,2,4,2004,139550
102,4,3,1962,327802
66,3,8,2007,114583
111,5,8,1961,269578
101,4,7,1998,226709
101,5,7,1972,288553
71,3,8,2007,149623
82,3,10,1966,184269
86,3,3,1977,188826
51,1,3,1988,73184
115,4,1,1965,235731
60,2,6,2010,130465
77,2,7,2011,158310
97,3,6,2005,199940
112,4,1,2019,220908
103,5,5,1969,279133
98,3,4,2002,214941
80,3,10,2001,136665
73,2,7,1991,139939
54,2,10,1976,102232
66,2,7,2021,98842
87,4,6,1956,295282
104,4,7,1971,280061
77,3,1,2009,147452
91,4,6,1984,230817
63,3,5,1975,101232
76,2,10,1978,165357
106,4,10,1996,198228
96,4,6,1989,208366
93,4,3,2004,182663
83,3,1,1950,205680
82,4,3,1984,149984
105,4,5,2012,248152
103,4,7,2013,244490
82,3,4,1995,175402
62,2,10,1961,166889
92,3,8,1977,150463
84,4,2,2012,151336
95,4,6,1989,181679
94,3,10,2015,222838
119,5,1,1951,347378
52,1,7,1997,73593
117,4,9,1968,315409
95,4,7,1980,193474
70,2,8,1951,207543
50,1,10,1968,85845
58,1,2,1950,120928
99,3,6,2001,193267
112,4,4,2015,256248
56,2,1,1988,85968
120,4,1,2014,193070
113,4,10,2009,223717
62,2,9,1972,110513
71,3,9,2011,122708
62,3,4,1953,157287
66,2,1,2014,106095
69,3,10,1962,164842
62,3,8,1954,180679
75,3,5,1989,166075
80,4,6,1956,224139
93,4,1,1987,169820
107,4,4,1989,187092
96,4,6,1985,245199
108,4,7,2005,238895
78,2,8,1956,212339
104,4,5,2014,250600
119,4,1,1976,225956
85,3,2,1970,187088
102,4,1,1985,223681
111,4,10,2019,276218
99,4,5,1980,211538
103,4,5,1975,211504
95,3,5,1954,292839
102,5,10,1952,292184
106,4,4,1954,330073
83,4,1,1966,191533
95,3,8,1961,282598
118,4,7,1998,247813
101,5,9,2003,261957
103,5,9,2010,214154
120,5,10,1977,268489
81,3,8,1969,169479
111,5,1,1983,273174
106,5,7,1975,267690
74,2,10,1978,155930
74,2,5,1957,210332
119,5,10,1965,362009
56,2,5,1983,93169
83,3,10,2022,165896
73,2,8,1999,136885
93,3,8,1967,191746
112,5,3,2018,208503
69,3,1,1953,206995
116,4,9,1970,293178
65,3,1,1960,147456
88,4,5,2017,170514
92,4,9,1961,210535
79,2,5,1974,167792
98,4,9,2022,226143
88,4,9,1965,268593
114,5,4,2016,300225
54,2,4,2022,85748
57,1,4,2013,85356
100,5,1,1975,238689
107,4,6,2002,235954
60,2,4,1951,157414
57,2,8,2006,113475
68,2,6,1967,133778
53,2,4,1958,140440
79,2,9,1954,228002
82,3,1,1981,126208
118,4,1,2018,206290
103,4,7,1966,298462
118,4,6,1985,264185
83,4,4,1995,205235
110,4,6,1961,279403
86,3,3,1951,284194
73,2,6,1968,140231
70,3,1,1992,128838
115,5,3,2011,223144
102,4,8,1997,200627
101,5,2,1989,199460
53,2,10,1983,99678
59,1,1,1985,74023
103,5,6,1987,249347
94,4,6,1989,183257
108,4,4,1980,244192
51,2,10,1998,98490
65,3,1,1955,195483
107,4,3,2018,258253
110,5,4,1998,230444
105,5,6,2003,267954
82,3,7,1980,148312
96,4,3,1995,193645
98,4,1,1965,241412
82,4,9,1981,151275
99,4,4,2009,176538
83,3,1,1955,176311
76,3,3,1996,156687
110,5,10,1981,279037
119,5,8,1957,423402
62,3,3,2022,121493
111,5,6,2002,281001
95,3,10,1972,204480
91,3,4,2012,159775
83,3,9,1975,136276
95,3,8,1952,269887
116,5,9,2008,236842
120,4,10,1954,414825
58,1,2,1984,113973
88,4,1,2007,154940
85,3,7,1993,201171
104,4,2,1966,306579
88,3,4,1968,221071
75,2,7,1982,162501
62,2,4,2000,110472
114,4,8,1973,218508
86,4,3,1950,303267
50,1,4,2017,75611
58,2,10,1979,123141
104,5,5,2000,243749
98,4,10,1994,213446
99,4,9,2002,194991
85,3,1,2014,124941
90,4,8,1954,255180
70,3,4,2015,143825
70,2,2,1983,111208
66,2,7,1966,140068
103,5,2,1997,256353
83,3,1,1985,148034
54,1,6,1995,88207
118,5,8,2002,237236
65,3,4,1963,171246
55,1,7,1977,89067
103,4,3,1985,258234
110,4,9,1961,309824
80,4,2,1977,137845
71,2,1,2011,120016
114,5,3,1961,278899
88,4,8,2010,187195
77,3,1,1966,194200
71,2,3,1966,146967
110,4,4,1990,192898
58,1,2,2015,94295
76,3,1,1972,117486
90,4,1,2019,162547
51,2,3,2011,87091
102,5,2,1975,271249
116,4,2,1983,290378
112,5,3,1962,272186
51,2,8,1989,106540
104,4,7,1981,189075
82,4,10,1991,154372
115,5,8,1972,232001
119,4,3,1986,212911
112,4,1,1970,275823
73,2,2,1998,154446
89,4,7,2013,181234
92,4,5,1986,217131
120,4,6,2007,214901
90,3,6,2000,144144
58,1,5,1984,98875
62,3,2,1954,170678
99,3,1,1958,241698
79,2,2,1983,146462
68,2,8,2002,143649
118,4,4,1995,281749
98,3,5,1952,241874
81,3,1,2003,140166
116,5,5,2018,236970
106,4,3,1964,258132
78,3,4,2015,149276
100,4,1,1954,239327
86,4,2,1955,308770
74,3,2,1976,118396
61,2,7,1997,121291
80,3,10,1992,189778
106,4,4,1993,228373
105,5,3,1990,209155
85,3,3,1965,231531
109,4,2,1975,250272
108,5,8,1978,278360
88,4,3,2017,175894
75,3,9,1982,146452
104,5,9,2021,249614
102,4,7,1958,308228
67,3,1,2011,112674
101,4,10,1963,301034
54,1,7,1966,94327
86,3,9,1988,177515
78,2,6,1996,155281
53,1,7,1993,88172
54,1,2,1965,105910
73,2,6,1976,108312
87,3,8,2015,160923
91,4,3,1953,231665
112,5,4,2017,304023
81,3,4,1962,233871
107,5,4,1952,327401
92,4,3,1950,317857
64,2,6,1968,150572
97,4,7,1991,230120
116,4,1,1987,264622
102,5,1,1984,189331
104,5,3,2011,273107
58,1,4,1970,98845
113,4,8,2022,271661
54,2,7,1954,117881
112,4,3,1983,233843
57,1,2,1995,87562
73,3,6,1996,138140
115,5,8,1968,254252
76,3,9,1996,165144
69,3,7,1969,160016
69,2,10,1955,180340
50,2,2,1954,117821
80,3,7,1964,198899
77,3,6,2008,174389
111,4,3,1998,201391
109,5,2,2021,284362
60,3,10,1989,132498
76,2,2,1962,180172
114,4,8,1964,280821
74,2,6,1994,116892
51,1,2,2019,86913
79,2,5,1960,210557
61,2,7,1962,153512
89,4,10,2008,212778
106,4,9,1988,215508
81,3,5,2017,165463
92,3,8,1998,175499
102,4,5,2018,240539
62,2,8,1963,166964
52,1,5,1997,97039
92,3,7,1987,163054
77,2,9,2005,119995
56,2,5,1986,113208
66,3,9,1985,143641
83,3,6,1972,140826
63,2,10,2021,134361
61,2,4,1977,96323
81,3,3,2022,134476
120,4,7,1961,354597
111,4,10,2020,252885
81,4,7,1979,150572
95,3,6,2003,206379
78,3,2,1951,184754
71,2,3,2006,125771
63,3,1,2022,111863
50,2,6,1988,91687
62,2,10,2021,106810
66,3,7,1963,155230
53,2,5,1960,107351
76,3,2,1979,130726
85,3,6,2022,166196
77,3,1,1977,160251
94,3,6,1972,217626
96,4,5,1994,227307
50,1,6,1958,123653
113,5,5,2011,257099
106,5,5,1967,230098
80,4,1,1959,229645
100,4,2,2014,247987
88,3,4,1964,241506
116,4,10,2018,245117
117,4,6,1960,371642
63,3,10,1992,135342
70,2,5,1958,152630
107,4,3,2015,205505
52,1,5,1952,149645
93,4,4,2014,189191
85,3,5,1997,188236
78,2,1,1992,108244
88,4,4,1993,224586
113,4,7,2012,227421
115,4,2,2017,214881
93,4,6,1989,163614
86,3,10,1978,161989
68,3,9,1995,123206
86,3,4,1974,175392
120,5,2,1998,309401
57,2,4,2007,110357
72,2,10,2021,144187
71,2,5,1978,133236
99,3,7,1955,254784
115,4,2,2019,209079
52,1,10,1991,93271
106,4,9,1967,231573
87,3,3,1986,171237
62,2,4,1953,190114
85,4,4,2019,201686
108,4,1,1963,210835
101,4,1,1977,201365
53,2,10,2005,81678
118,4,3,1978,246447
114,4,1,2003,226099
107,5,2,1953,384604
64,2,3,2021,134873
86,4,9,2020,189643
62,2,5,2000,91748
107,5,5,1961,376457
57,1,1,2015,71149
81,3,6,1982,139411
113,5,3,1980,235517
108,5,7,1978,269982
109,4,6,1964,276393
120,4,3,2021,299743
120,4,9,1980,253730
79,2,8,1960,209620
63,2,6,1995,117217
71,2,1,1960,171188
101,4,3,2017,218203
52,2,4,1965,128590
96,4,6,1981,205394
107,4,9,2005,190619
70,3,3,2001,111006
113,5,10,1960,349030
98,3,8,1976,200745
71,2,1,1991,136095
60,3,6,1992,127622
68,3,8,1953,208384
99,3,7,1973,200079
50,2,4,1981,82275
118,5,6,1994,242062
87,4,7,2009,177506
98,3,7,1978,208711
118,4,10,1993,227227
55,1,1,1976,84283
60,2,9,1978,101397
66,3,2,1972,131056
108,5,7,2007,261454
56,2,9,1955,131418
53,2,4,1952,133985
117,5,9,1967,333250
58,2,7,2021,99022
106,4,3,2005,248031
54,1,9,1999,104218
63,3,8,1981,130392
88,4,5,1961,250803
120,5,2,2015,260438
107,5,10,1996,252393
69,2,7,1994,116449
61,2,6,1961,167226
79,3,10,2019,177991
70,2,4,2020,127134
62,2,2,1983,92840
87,4,10,2004,161977
91,4,10,1965,208131
73,3,10,1960,174209
56,2,2,1952,173046
82,4,6,1993,146250
114,4,5,1973,232218
93,3,10,1979,192251
116,5,6,1981,227315
59,2,1,2010,90717
72,3,1,1977,126087
119,4,5,1997,224295
114,5,1,1990,241878
62,3,7,1985,105153
68,2,7,1999,134279
59,2,5,2018,104584
79,3,10,2012,178810
96,3,7,2007,176370
116,4,1,2001,231038
58,2,2,1967,142769
98,3,7,2015,201178
94,4,3,2019,172160
106,5,5,1959,353652
97,3,2,1988,176881
73,3,7,2008,126217
117,5,7,2008,232921
69,3,5,2019,113957
116,4,6,2010,209901
83,3,2,1980,133805
86,3,2,1971,205359
51,1,6,1952,98769
84,3,10,1981,161581
94,3,6,2007,207268
105,4,7,2011,182149
119,5,2,2011,302952
107,5,1,2012,208288
92,3,3,2000,145802
63,2,9,2011,114011
70,3,3,2007,114414
80,3,1,2007,161213
113,4,10,2018,228055
110,5,8,2013,225061
111,4,9,2015,246953
98,4,1,2014,153205
100,5,9,1955,385897
79,3,6,2020,183469
57,1,2,1999,109236
53,2,1,1992,98921
109,4,2,1988,223652
96,4,7,1962,218467
114,4,3,1991,280273
98,4,8,1999,178645
84,3,7,2012,163740
76,3,2,1957,175098
78,3,7,2012,171101
87,3,3,1981,198937
56,2,3,1972,115587
101,4,7,2009,241874
74,3,2,1996,143964
70,2,5,1996,137832
88,4,9,1973,171131
120,5,6,2005,320349
94,4,2,1971,184479
114,4,3,2018,209104
95,3,10,1989,182674
91,3,10,1987,201334
59,1,9,2002,96356
72,3,1,1984,139573
50,1,1,2008,88777
63,2,9,1986,120620
115,4,8,1961,256036
102,5,8,1955,392965
55,1,9,1978,90566
59,2,3,2022,96249
76,3,5,1977,174063
84,3,10,1957,264490
99,4,4,2002,252821
86,4,4,2000,207571
69,3,10,2017,117059
110,4,7,1986,273484
104,5,9,1967,267086
67,3,3,1959,165102
53,2,5,1960,117810
63,2,3,1996,118948
105,5,1,1984,197305
96,4,8,1979,198746
90,3,1,2009,186656
67,2,5,1995,142132
70,3,4,1997,121239
52,1,8,1971,107701
63,2,2,1983,129097
96,4,10,1994,222127
96,3,9,2001,176098
69,2,1,1969,128342
119,5,10,1979,245650
116,5,9,1959,325085
110,4,2,2003,240730
90,4,6,1986,155890
64,2,4,2010,105379
82,3,2,1979,153064
80,3,1,1950,191608
101,5,9,1957,378963
78,3,6,1973,133155
115,5,4,1959,347167
66,3,6,1955,207528
51,2,5,2016,93965
67,2,2,1983,121185
99,3,4,1996,204255
65,3,3,1991,123667
103,4,10,1972,207181
118,5,7,2022,252089
79,2,1,1966,124607
79,2,8,1978,124833
57,1,6,1950,123730
88,3,4,2019,187959
82,4,7,2012,192469
110,5,10,1955,374291
99,3,5,1976,202917
89,4,4,1984,188718
76,3,2,1961,172862
108,5,3,1971,308362
100,5,7,1966,290592
105,4,8,1987,214056
108,4,7,1972,243125
118,4,6,1951,364618
99,4,1,1966,212377
68,2,10,1966,117335
55,1,1,1977,67255
87,3,3,1993,189095
64,3,1,1956,184906
50,1,6,1986,73675
72,3,4,1985,135509
55,1,8,1951,123736
73,3,5,1964,188003
67,3,10,2000,155677
